,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,link,source,text,date,language,toxicity
0,0,0,0,"Που 'ναι τα χρόνια ! - 40 αθάνατα, αγαπημένα, ελληνικά τραγούδια (by Linda)",https://www.youtube.com/watch?v=OdX0y96UPEA&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Great selection, one more time. THANKS!",2023-07-27,en,1
1,1,3,3,"Που 'ναι τα χρόνια ! - 40 αθάνατα, αγαπημένα, ελληνικά τραγούδια (by Linda)",https://www.youtube.com/watch?v=OdX0y96UPEA&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️,2023-07-27,el,1
2,2,4,4,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Încă  o zi petrecută cu muzica voastră  fantastică.  Multe melodii   noi pentru mine din minunata istorie a muzicii grecești. Felicitări pentru ce faceti, aducând bucurie în  sufletele celor ce iubesc Elada. Vă  iubesc și vă  doresc tot binele  din lume în 2022.",2022-11-27,el,1
3,3,5,5,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,ANTIGUAS CANCIONES DE GRECIA PAIS NATAL DE MIS PADRES .CUÁNTOS RECUERDOS .DESDE ARGENTINA JUAN DE COMODORO RIVADAVIA.🇦🇷🇦🇷🇬🇷🇬🇷,2022-11-27,other,1
4,4,6,6,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song," FelicităriSuperb 
Să fiți mereu bine 
Momente frumoase în viața ta 
Mulțumesc 
Iubirea mea mereu 
Din România cu drag!",2022-11-27,el,1
5,5,7,7,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Beautiful thank you  so many memories awesome Tragoudistes we’re trying to keep it life together with you guys thank you love ️ you from USA 🇺🇸.,2022-11-27,en,1
6,6,8,8,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Lovely collection! Thank you <3,2022-11-27,el,1
7,7,9,9,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Pot Poori of classic singers and their songs. Wonderful.,2022-11-27,en,1
8,8,10,10,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Thank you for this beautiful selection excellent work  thanks for the memories.,2022-11-27,en,1
9,9,11,11,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"
From Poland 

Pytanie, słucha tej muzyki jakaś Polka mieszkająca w Grecji? 
",2022-11-27,el,1
10,10,12,12,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Хиляди пъти Гърция и тази музика,2022-11-27,el,1
11,11,14,14,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Congratulations!!!!!!!,2022-11-27,el,1
12,12,15,15,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,I Epilogi ton Tragoudion ine APITHANI.,2022-11-27,el,1
13,13,16,16,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️️️️,2022-11-27,el,1
14,14,17,17,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,OLH H ISTORIA THS  ELLHNIKHS MOYSIKHS MESA  SE ENA MIKRO TETRAGONAKI .PANTA  SYNEPEIS   SE AYTO  POY XERETAI NA KANETAI ME  EPAGGELMATISMO .LINDA KAI HLIA MAS ..,2022-11-27,greeklish,1
15,15,18,18,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️,2022-11-27,el,1
16,16,19,19,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"️️️️️️️️️ 
 
13
 
Linda",2022-11-27,el,1
17,17,20,20,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Telei MUSIKI  WUNDERBAR,2022-11-27,el,1
18,18,21,21,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,🇬🇷🇬🇷🇬🇷️️️️️️🇬🇷️🇩🇪,2023-06-27,el,1
19,19,22,22,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,"Tragudhja  aksehasta. Ja mena ine Super ola,I tragudhidtis ine oli iperoji ,Ta skuo qe omos dhen hortazo  me afta ta dhiamandia.",2022-11-27,greeklish,1
20,20,23,23,Μουσική ιστορία Νο.1 (μέρος πρώτο) - 100 χρυσά τραγούδια (by Elias),https://www.youtube.com/watch?v=p5g82ta4sTk&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,Efharistoume apo kardias Gia tis orees epiloges sas anarotieme mipos gnorizete Pou vriskete I Ka Litsa Diamadi ?  Zo ektos Ellados  ke den gnorizo ti apegiine afti I megali tragoudistria kathos ke o Philippos Nikolaou efharisto,2022-11-27,greeklish,1
21,21,24,24,40 ελληνικά τραγούδια από τα 60's (by Elias),https://www.youtube.com/watch?v=WIiJc6_4khQ&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,İzmir burdaa️️️️️,2022-12-27,el,1
22,22,25,25,40 ελληνικά τραγούδια από τα 60's (by Elias),https://www.youtube.com/watch?v=WIiJc6_4khQ&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,️️️️️,2022-12-27,el,1
23,23,27,27,Όμορφα ελληνικά τραγούδια,https://www.youtube.com/watch?v=UIfND1RykJc&pp=ygUjzrXOu867zrfOvc65zrrOsSDPhM-BzrHOs86_z4XOtM65zrE%3D,song,bien mi amigo ya tenemos  buenos amigos  sur americanos que les encanta esta hermosa  música  bravo por usted  la música no tiene fronteras !!!,2020-11-27,other,1
